"Номер операции","Дата","Код магазина","Код товара","Количество упаковок, шт.","Тип операции","Цена руб./шт."
"557","10/1/2021","M7","13","180","Поступление","60"
"558","10/1/2021","M7","13","90","Продажа","60"
"559","10/1/2021","M7","18","180","Поступление","49"
"560","10/1/2021","M7","18","60","Продажа","49"
"561","10/1/2021","M7","24","170","Поступление","50"
"562","10/1/2021","M7","24","120","Продажа","50"
"563","10/1/2021","M7","25","180","Поступление","52"
"564","10/1/2021","M7","25","120","Продажа","52"
"565","10/1/2021","M7","26","180","Поступление","47"
"566","10/1/2021","M7","26","120","Продажа","47"
"567","10/1/2021","M7","27","180","Поступление","45"
"568","10/1/2021","M7","27","120","Продажа","45"
"569","10/1/2021","M7","28","180","Поступление","38"
"570","10/1/2021","M7","28","100","Продажа","38"
"571","10/1/2021","M7","29","170","Поступление","85"
"572","10/1/2021","M7","29","20","Продажа","85"
"573","10/1/2021","M7","30","180","Поступление","44"
"574","10/1/2021","M7","30","80","Продажа","44"
"575","10/1/2021","M7","33","180","Поступление","50"
"576","10/1/2021","M7","33","80","Продажа","50"
"577","10/1/2021","M7","34","170","Поступление","65"
"578","10/1/2021","M7","34","40","Продажа","65"
"579","10/1/2021","M7","44","180","Поступление","180"
"580","10/1/2021","M7","44","60","Продажа","180"
"581","10/1/2021","M7","45","180","Поступление","170"
"582","10/1/2021","M7","45","40","Продажа","170"
"583","10/1/2021","M7","46","180","Поступление","330"
"584","10/1/2021","M7","46","80","Продажа","330"
"585","10/1/2021","M7","47","180","Поступление","370"
"586","10/1/2021","M7","47","24","Продажа","370"
"587","10/1/2021","M7","48","170","Поступление","180"
"588","10/1/2021","M7","48","60","Продажа","180"
"589","10/1/2021","M8","4","180","Поступление","75"
"590","10/1/2021","M8","4","170","Продажа","75"
"591","10/1/2021","M8","5","180","Поступление","70"
"592","10/1/2021","M8","5","120","Продажа","70"
"593","10/1/2021","M8","6","170","Поступление","50"
"594","10/1/2021","M8","6","90","Продажа","50"
"595","10/1/2021","M8","9","180","Поступление","55"
"596","10/1/2021","M8","9","150","Продажа","55"
"597","10/1/2021","M8","10","180","Поступление","70"
"598","10/1/2021","M8","10","90","Продажа","70"
"599","10/1/2021","M8","13","180","Поступление","60"
"600","10/1/2021","M8","13","100","Продажа","60"
"601","10/1/2021","M8","18","180","Поступление","49"
"602","10/1/2021","M8","18","60","Продажа","49"
"603","10/1/2021","M8","24","170","Поступление","50"
"604","10/1/2021","M8","24","120","Продажа","50"
"605","10/1/2021","M8","25","180","Поступление","52"
"606","10/1/2021","M8","25","120","Продажа","52"
"607","10/1/2021","M8","26","180","Поступление","47"
"608","10/1/2021","M8","26","120","Продажа","47"
"609","10/1/2021","M8","27","170","Поступление","45"
"610","10/1/2021","M8","27","120","Продажа","45"
"611","10/1/2021","M8","28","180","Поступление","38"
"612","10/1/2021","M8","28","100","Продажа","38"
"613","10/1/2021","M8","29","180","Поступление","85"
"614","10/1/2021","M8","29","20","Продажа","85"
"615","10/1/2021","M8","30","180","Поступление","44"
"616","10/1/2021","M8","30","80","Продажа","44"
"617","10/1/2021","M8","33","180","Поступление","50"
"618","10/1/2021","M8","33","80","Продажа","50"
"619","10/1/2021","M8","34","170","Поступление","65"
"620","10/1/2021","M8","34","40","Продажа","65"
"621","10/1/2021","M8","44","180","Поступление","180"
"622","10/1/2021","M8","44","60","Продажа","180"
"623","10/1/2021","M8","45","180","Поступление","170"
"624","10/1/2021","M8","45","40","Продажа","170"
"625","10/1/2021","M8","46","170","Поступление","330"
"626","10/1/2021","M8","46","80","Продажа","330"
"627","10/1/2021","M8","47","180","Поступление","370"
"628","10/1/2021","M8","47","24","Продажа","370"
"629","10/1/2021","M8","48","180","Поступление","180"
"630","10/1/2021","M8","48","60","Продажа","180"
"631","10/1/2021","M9","4","180","Поступление","75"
"632","10/1/2021","M9","4","120","Продажа","75"
"633","10/1/2021","M9","5","180","Поступление","70"
"634","10/1/2021","M9","5","60","Продажа","70"
"635","10/1/2021","M9","6","170","Поступление","50"
"636","10/1/2021","M9","6","72","Продажа","50"
"637","10/1/2021","M9","9","180","Поступление","55"
"638","10/1/2021","M9","9","87","Продажа","55"
"639","10/1/2021","M9","10","180","Поступление","70"
"640","10/1/2021","M9","10","90","Продажа","70"
"641","10/1/2021","M9","13","170","Поступление","60"
"642","10/1/2021","M9","13","80","Продажа","60"
"643","10/1/2021","M9","18","180","Поступление","49"
"644","10/1/2021","M9","18","56","Продажа","49"
"645","10/1/2021","M9","24","180","Поступление","50"
"646","10/1/2021","M9","24","103","Продажа","50"
"647","10/1/2021","M9","25","180","Поступление","52"
"648","10/1/2021","M9","25","111","Продажа","52"
"649","10/1/2021","M9","26","180","Поступление","47"
"650","10/1/2021","M9","26","124","Продажа","47"
"651","10/1/2021","M9","27","170","Поступление","45"
"652","10/1/2021","M9","27","103","Продажа","45"
"653","10/1/2021","M9","28","180","Поступление","38"
"654","10/1/2021","M9","28","93","Продажа","38"
"655","10/1/2021","M9","29","180","Поступление","85"
"656","10/1/2021","M9","29","19","Продажа","85"
"657","10/1/2021","M9","30","170","Поступление","44"
"658","10/1/2021","M9","30","74","Продажа","44"
"659","10/1/2021","M9","33","180","Поступление","50"
"660","10/1/2021","M9","33","74","Продажа","50"
"661","10/1/2021","M9","34","180","Поступление","65"
"662","10/1/2021","M9","34","37","Продажа","65"
"663","10/1/2021","M9","44","180","Поступление","180"
"664","10/1/2021","M9","44","56","Продажа","180"
"665","10/1/2021","M9","45","180","Поступление","170"
"666","10/1/2021","M9","45","37","Продажа","170"
"667","10/1/2021","M9","46","170","Поступление","330"
"668","10/1/2021","M9","46","74","Продажа","330"
"669","10/1/2021","M9","47","180","Поступление","370"
"670","10/1/2021","M9","47","23","Продажа","370"
"671","10/1/2021","M9","48","180","Поступление","180"
"672","10/1/2021","M9","48","56","Продажа","180"
"673","10/2/2021","M1","1","170","Поступление","57"
"674","10/2/2021","M1","1","192","Продажа","57"
"675","10/2/2021","M1","3","180","Поступление","35"
"676","10/2/2021","M1","3","192","Продажа","35"
"677","10/2/2021","M1","7","180","Поступление","38"
"678","10/2/2021","M1","7","80","Продажа","38"
"679","10/2/2021","M1","8","180","Поступление","220"
"680","10/2/2021","M1","8","48","Продажа","220"
"681","10/2/2021","M1","14","180","Поступление","30"
"682","10/2/2021","M1","14","240","Продажа","30"
"683","10/2/2021","M1","16","170","Поступление","90"
"684","10/2/2021","M1","16","240","Продажа","90"
"685","10/2/2021","M10","1","180","Поступление","57"
"686","10/2/2021","M10","1","192","Продажа","57"
"687","10/2/2021","M10","3","180","Поступление","35"
"688","10/2/2021","M10","3","192","Продажа","35"
"689","10/2/2021","M10","7","170","Поступление","38"
"690","10/2/2021","M10","7","80","Продажа","38"
"691","10/2/2021","M10","8","180","Поступление","220"
"692","10/2/2021","M10","8","48","Продажа","220"
"693","10/2/2021","M10","14","180","Поступление","30"
"694","10/2/2021","M10","14","250","Продажа","30"
"695","10/2/2021","M10","16","180","Поступление","90"
"696","10/2/2021","M10","16","240","Продажа","90"
"697","10/2/2021","M11","1","180","Поступление","57"
"698","10/2/2021","M11","1","96","Продажа","57"
"699","10/2/2021","M11","3","170","Поступление","35"
"700","10/2/2021","M11","3","128","Продажа","35"
"701","10/2/2021","M11","7","180","Поступление","38"
"702","10/2/2021","M11","7","48","Продажа","38"
"703","10/2/2021","M11","8","180","Поступление","220"
"704","10/2/2021","M11","8","29","Продажа","220"
"705","10/2/2021","M11","14","170","Поступление","30"
"706","10/2/2021","M11","14","120","Продажа","30"
"707","10/2/2021","M11","16","180","Поступление","90"
"708","10/2/2021","M11","16","160","Продажа","90"
"709","10/2/2021","M12","1","180","Поступление","57"
"710","10/2/2021","M12","1","144","Продажа","57"
"711","10/2/2021","M12","3","180","Поступление","35"
"712","10/2/2021","M12","3","160","Продажа","35"
"713","10/2/2021","M12","7","180","Поступление","38"
"714","10/2/2021","M12","7","80","Продажа","38"
"715","10/2/2021","M12","8","170","Поступление","220"
"716","10/2/2021","M12","8","39","Продажа","220"
"717","10/2/2021","M12","14","180","Поступление","30"
"718","10/2/2021","M12","14","200","Продажа","30"
"719","10/2/2021","M12","16","180","Поступление","90"
"720","10/2/2021","M12","16","160","Продажа","90"
"721","10/2/2021","M13","1","170","Поступление","57"
"722","10/2/2021","M13","1","144","Продажа","57"
"723","10/2/2021","M13","3","180","Поступление","35"
"724","10/2/2021","M13","3","160","Продажа","35"
"725","10/2/2021","M13","7","180","Поступление","38"
"726","10/2/2021","M13","7","80","Продажа","38"
"727","10/2/2021","M13","8","180","Поступление","220"
"728","10/2/2021","M13","8","39","Продажа","220"
"729","10/2/2021","M13","14","180","Поступление","30"
"730","10/2/2021","M13","14","200","Продажа","30"
"731","10/2/2021","M13","16","170","Поступление","90"
"732","10/2/2021","M13","16","160","Продажа","90"
"733","10/2/2021","M14","1","180","Поступление","57"
"734","10/2/2021","M14","1","96","Продажа","57"
"735","10/2/2021","M14","3","180","Поступление","35"
"736","10/2/2021","M14","3","128","Продажа","35"
"737","10/2/2021","M14","7","170","Поступление","38"
"738","10/2/2021","M14","7","48","Продажа","38"
"739","10/2/2021","M14","8","180","Поступление","220"
"740","10/2/2021","M14","8","29","Продажа","220"
"741","10/2/2021","M14","14","180","Поступление","30"
"742","10/2/2021","M14","14","120","Продажа","30"
"743","10/2/2021","M14","16","180","Поступление","90"
"744","10/2/2021","M14","16","160","Продажа","90"
"745","10/2/2021","M15","1","180","Поступление","57"
"746","10/2/2021","M15","1","192","Продажа","57"
"747","10/2/2021","M15","3","170","Поступление","35"
"748","10/2/2021","M15","3","192","Продажа","35"
"749","10/2/2021","M15","7","180","Поступление","38"
"750","10/2/2021","M15","7","80","Продажа","38"
"751","10/2/2021","M15","8","180","Поступление","220"
"752","10/2/2021","M15","8","48","Продажа","220"
"753","10/2/2021","M15","14","170","Поступление","30"
"754","10/2/2021","M15","14","240","Продажа","30"
"755","10/2/2021","M15","16","180","Поступление","90"
"756","10/2/2021","M15","16","230","Продажа","90"
"757","10/2/2021","M16","1","180","Поступление","57"
"758","10/2/2021","M16","1","144","Продажа","57"
"759","10/2/2021","M16","3","180","Поступление","35"
"760","10/2/2021","M16","3","160","Продажа","35"
"761","10/2/2021","M16","7","180","Поступление","38"
"762","10/2/2021","M16","7","80","Продажа","38"
"763","10/2/2021","M16","8","170","Поступление","220"
"764","10/2/2021","M16","8","39","Продажа","220"
"765","10/2/2021","M16","14","180","Поступление","30"
"766","10/2/2021","M16","14","200","Продажа","30"
"767","10/2/2021","M16","16","180","Поступление","90"
"768","10/2/2021","M16","16","160","Продажа","90"
"769","10/2/2021","M2","1","170","Поступление","57"
"770","10/2/2021","M2","1","144","Продажа","57"
"771","10/2/2021","M2","3","180","Поступление","35"
"772","10/2/2021","M2","3","160","Продажа","35"
"773","10/2/2021","M2","7","180","Поступление","38"
"774","10/2/2021","M2","7","80","Продажа","38"
"775","10/2/2021","M2","8","180","Поступление","220"
"776","10/2/2021","M2","8","39","Продажа","220"
"777","10/2/2021","M2","14","180","Поступление","30"
"778","10/2/2021","M2","14","200","Продажа","30"
"779","10/2/2021","M2","16","170","Поступление","90"
"780","10/2/2021","M2","16","160","Продажа","90"
"781","10/2/2021","M3","1","180","Поступление","57"
"782","10/2/2021","M3","1","96","Продажа","57"
"783","10/2/2021","M3","3","180","Поступление","35"
"784","10/2/2021","M3","3","128","Продажа","35"
"785","10/2/2021","M3","7","170","Поступление","38"
"786","10/2/2021","M3","7","48","Продажа","38"
"787","10/2/2021","M3","8","180","Поступление","220"
"788","10/2/2021","M3","8","29","Продажа","220"
"789","10/2/2021","M3","14","180","Поступление","30"
"790","10/2/2021","M3","14","120","Продажа","30"
"791","10/2/2021","M3","16","180","Поступление","90"
"792","10/2/2021","M3","16","160","Продажа","90"
"793","10/2/2021","M4","1","180","Поступление","57"
"794","10/2/2021","M4","1","144","Продажа","57"
"795","10/2/2021","M4","3","170","Поступление","35"
"796","10/2/2021","M4","3","160","Продажа","35"
"797","10/2/2021","M4","7","180","Поступление","38"
"798","10/2/2021","M4","7","80","Продажа","38"
"799","10/2/2021","M4","8","180","Поступление","220"
"800","10/2/2021","M4","8","39","Продажа","220"
"801","10/2/2021","M4","14","170","Поступление","30"
"802","10/2/2021","M4","14","200","Продажа","30"
"803","10/2/2021","M4","16","180","Поступление","90"
"804","10/2/2021","M4","16","160","Продажа","90"
"805","10/2/2021","M5","1","180","Поступление","57"
"806","10/2/2021","M5","1","192","Продажа","57"
"807","10/2/2021","M5","3","180","Поступление","35"
"808","10/2/2021","M5","3","192","Продажа","35"
"809","10/2/2021","M5","7","180","Поступление","38"
"810","10/2/2021","M5","7","80","Продажа","38"
"811","10/2/2021","M5","8","170","Поступление","220"
"812","10/2/2021","M5","8","48","Продажа","220"
"813","10/2/2021","M5","14","180","Поступление","30"
"814","10/2/2021","M5","14","242","Продажа","30"
"815","10/2/2021","M5","16","180","Поступление","90"
"816","10/2/2021","M5","16","240","Продажа","90"
"817","10/2/2021","M6","1","170","Поступление","57"
"818","10/2/2021","M6","1","192","Продажа","57"
"819","10/2/2021","M6","3","180","Поступление","35"
"820","10/2/2021","M6","3","192","Продажа","35"
"821","10/2/2021","M6","7","180","Поступление","38"
"822","10/2/2021","M6","7","80","Продажа","38"
"823","10/2/2021","M6","8","180","Поступление","220"
"824","10/2/2021","M6","8","48","Продажа","220"
"825","10/2/2021","M6","14","180","Поступление","30"
"826","10/2/2021","M6","14","240","Продажа","30"
"827","10/2/2021","M6","16","170","Поступление","90"
"828","10/2/2021","M6","16","238","Продажа","90"
"829","10/2/2021","M7","1","180","Поступление","57"
"830","10/2/2021","M7","1","144","Продажа","57"
"831","10/2/2021","M7","3","180","Поступление","35"
"832","10/2/2021","M7","3","160","Продажа","35"
"833","10/2/2021","M7","7","170","Поступление","38"
"834","10/2/2021","M7","7","80","Продажа","38"
"835","10/2/2021","M7","8","180","Поступление","220"
"836","10/2/2021","M7","8","39","Продажа","220"
"837","10/2/2021","M7","14","180","Поступление","30"
"838","10/2/2021","M7","14","200","Продажа","30"
"839","10/2/2021","M7","16","180","Поступление","90"
"840","10/2/2021","M7","16","160","Продажа","90"
"841","10/2/2021","M8","1","180","Поступление","57"
"842","10/2/2021","M8","1","144","Продажа","57"
"843","10/2/2021","M8","3","170","Поступление","35"
"844","10/2/2021","M8","3","160","Продажа","35"
"845","10/2/2021","M8","7","180","Поступление","38"
"846","10/2/2021","M8","7","80","Продажа","38"
"847","10/2/2021","M8","8","180","Поступление","220"
"848","10/2/2021","M8","8","39","Продажа","220"
"849","10/2/2021","M8","14","170","Поступление","30"
"850","10/2/2021","M8","14","200","Продажа","30"
"851","10/2/2021","M8","16","180","Поступление","90"
"852","10/2/2021","M8","16","160","Продажа","90"
"853","10/2/2021","M9","1","180","Поступление","57"
"854","10/2/2021","M9","1","96","Продажа","57"
"855","10/2/2021","M9","3","180","Поступление","35"
"856","10/2/2021","M9","3","128","Продажа","35"
"857","10/2/2021","M9","7","180","Поступление","38"
"858","10/2/2021","M9","7","48","Продажа","38"
"859","10/2/2021","M9","8","170","Поступление","220"
"860","10/2/2021","M9","8","29","Продажа","220"
"861","10/2/2021","M9","14","180","Поступление","30"
"862","10/2/2021","M9","14","120","Продажа","30"
"863","10/2/2021","M9","16","180","Поступление","90"
"864","10/2/2021","M9","16","160","Продажа","90"
"865","10/3/2021","M1","17","170","Поступление","95"
"866","10/3/2021","M1","17","85","Продажа","95"
"867","10/3/2021","M1","19","180","Поступление","90"
"868","10/3/2021","M1","19","50","Продажа","90"
"869","10/3/2021","M1","20","180","Поступление","80"
"870","10/3/2021","M1","20","35","Продажа","80"
"871","10/3/2021","M1","21","180","Поступление","105"
"872","10/3/2021","M1","21","95","Продажа","105"
"873","10/3/2021","M1","22","180","Поступление","115"
"874","10/3/2021","M1","22","98","Продажа","115"
"875","10/3/2021","M1","23","170","Поступление","120"
"876","10/3/2021","M1","23","47","Продажа","120"
"877","10/3/2021","M1","35","180","Поступление","55"
"878","10/3/2021","M1","35","34","Продажа","55"
"879","10/3/2021","M1","37","180","Поступление","50"
"880","10/3/2021","M1","37","85","Продажа","50"
"881","10/3/2021","M1","38","170","Поступление","70"
"882","10/3/2021","M1","38","100","Продажа","70"
"883","10/3/2021","M1","39","180","Поступление","95"
"884","10/3/2021","M1","39","144","Продажа","95"
"885","10/3/2021","M1","40","180","Поступление","15"
"886","10/3/2021","M1","40","23","Продажа","15"
"887","10/3/2021","M1","41","180","Поступление","35"
"888","10/3/2021","M1","41","44","Продажа","35"
"889","10/3/2021","M1","42","180","Поступление","90"
"890","10/3/2021","M1","42","35","Продажа","90"
"891","10/3/2021","M1","43","170","Поступление","40"
"892","10/3/2021","M1","43","24","Продажа","40"
"893","10/3/2021","M10","17","180","Поступление","95"
"894","10/3/2021","M10","17","91","Продажа","95"
"895","10/3/2021","M10","19","180","Поступление","90"
"896","10/3/2021","M10","19","51","Продажа","90"
"897","10/3/2021","M10","20","170","Поступление","80"
"898","10/3/2021","M10","20","48","Продажа","80"
"899","10/3/2021","M10","21","180","Поступление","105"
"900","10/3/2021","M10","21","84","Продажа","105"
"901","10/3/2021","M10","22","180","Поступление","115"
"902","10/3/2021","M10","22","96","Продажа","115"
"903","10/3/2021","M10","23","180","Поступление","120"
"904","10/3/2021","M10","23","47","Продажа","120"
"905","10/3/2021","M10","35","180","Поступление","55"
"906","10/3/2021","M10","35","34","Продажа","55"
"907","10/3/2021","M10","37","170","Поступление","50"
"908","10/3/2021","M10","37","120","Продажа","50"
"909","10/3/2021","M10","38","180","Поступление","70"
"910","10/3/2021","M10","38","114","Продажа","70"
"911","10/3/2021","M10","39","180","Поступление","95"
"912","10/3/2021","M10","39","135","Продажа","95"
"913","10/3/2021","M10","40","170","Поступление","15"
"914","10/3/2021","M10","40","20","Продажа","15"
"915","10/3/2021","M10","41","180","Поступление","35"
"916","10/3/2021","M10","41","42","Продажа","35"
"917","10/3/2021","M10","42","180","Поступление","90"
"918","10/3/2021","M10","42","26","Продажа","90"
"919","10/3/2021","M10","43","180","Поступление","40"
"920","10/3/2021","M10","43","28","Продажа","40"
"921","10/3/2021","M11","17","180","Поступление","95"
"922","10/3/2021","M11","17","71","Продажа","95"
"923","10/3/2021","M11","19","170","Поступление","90"
"924","10/3/2021","M11","19","42","Продажа","90"
"925","10/3/2021","M11","20","180","Поступление","80"
"926","10/3/2021","M11","20","52","Продажа","80"
"927","10/3/2021","M11","21","180","Поступление","105"
"928","10/3/2021","M11","21","64","Продажа","105"
"929","10/3/2021","M11","22","170","Поступление","115"
"930","10/3/2021","M11","22","57","Продажа","115"
"931","10/3/2021","M11","23","180","Поступление","120"
"932","10/3/2021","M11","23","14","Продажа","120"
"933","10/3/2021","M11","35","180","Поступление","55"
"934","10/3/2021","M11","35","55","Продажа","55"
"935","10/3/2021","M11","37","180","Поступление","50"
"936","10/3/2021","M11","37","138","Продажа","50"
"937","10/3/2021","M11","38","180","Поступление","70"
"938","10/3/2021","M11","38","115","Продажа","70"
"939","10/3/2021","M11","39","170","Поступление","95"
"940","10/3/2021","M11","39","107","Продажа","95"
"941","10/3/2021","M11","40","180","Поступление","15"
"942","10/3/2021","M11","40","45","Продажа","15"
"943","10/3/2021","M11","41","180","Поступление","35"
"944","10/3/2021","M11","41","12","Продажа","35"
"945","10/3/2021","M11","42","170","Поступление","90"
"946","10/3/2021","M11","42","18","Продажа","90"
"947","10/3/2021","M11","43","180","Поступление","40"
"948","10/3/2021","M11","43","21","Продажа","40"
"949","10/3/2021","M12","17","180","Поступление","95"
"950","10/3/2021","M12","17","88","Продажа","95"
"951","10/3/2021","M12","19","180","Поступление","90"
"952","10/3/2021","M12","19","57","Продажа","90"
"953","10/3/2021","M12","20","180","Поступление","80"
"954","10/3/2021","M12","20","58","Продажа","80"
"955","10/3/2021","M12","21","170","Поступление","105"
"956","10/3/2021","M12","21","95","Продажа","105"
"957","10/3/2021","M12","22","180","Поступление","115"
"958","10/3/2021","M12","22","82","Продажа","115"
"959","10/3/2021","M12","23","180","Поступление","120"
"960","10/3/2021","M12","23","30","Продажа","120"
"961","10/3/2021","M12","35","170","Поступление","55"
"962","10/3/2021","M12","35","52","Продажа","55"
"963","10/3/2021","M12","37","180","Поступление","50"
"964","10/3/2021","M12","37","127","Продажа","50"
"965","10/3/2021","M12","38","180","Поступление","70"
"966","10/3/2021","M12","38","115","Продажа","70"
"967","10/3/2021","M12","39","180","Поступление","95"
"968","10/3/2021","M12","39","149","Продажа","95"
"969","10/3/2021","M12","40","180","Поступление","15"
"970","10/3/2021","M12","40","37","Продажа","15"
"971","10/3/2021","M12","41","170","Поступление","35"
"972","10/3/2021","M12","41","30","Продажа","35"
"973","10/3/2021","M12","42","180","Поступление","90"
"974","10/3/2021","M12","42","20","Продажа","90"
"975","10/3/2021","M12","43","180","Поступление","40"
"976","10/3/2021","M12","43","22","Продажа","40"
"977","10/3/2021","M13","17","170","Поступление","95"
"978","10/3/2021","M13","17","85","Продажа","95"
"979","10/3/2021","M13","19","180","Поступление","90"
"980","10/3/2021","M13","19","50","Продажа","90"
"981","10/3/2021","M13","20","180","Поступление","80"
"982","10/3/2021","M13","20","55","Продажа","80"
"983","10/3/2021","M13","21","180","Поступление","105"
"984","10/3/2021","M13","21","60","Продажа","105"
"985","10/3/2021","M13","22","180","Поступление","115"
"986","10/3/2021","M13","22","75","Продажа","115"
"987","10/3/2021","M13","23","170","Поступление","120"
"988","10/3/2021","M13","23","35","Продажа","120"
"989","10/3/2021","M13","35","180","Поступление","55"
"990","10/3/2021","M13","35","56","Продажа","55"
"991","10/3/2021","M13","37","180","Поступление","50"
"992","10/3/2021","M13","37","120","Продажа","50"
"993","10/3/2021","M13","38","170","Поступление","70"
"994","10/3/2021","M13","38","110","Продажа","70"
"995","10/3/2021","M13","39","180","Поступление","95"
"996","10/3/2021","M13","39","155","Продажа","95"
"997","10/3/2021","M13","40","180","Поступление","15"
"998","10/3/2021","M13","40","30","Продажа","15"
"999","10/3/2021","M13","41","180","Поступление","35"
"1000","10/3/2021","M13","41","20","Продажа","35"
"1001","10/3/2021","M13","42","180","Поступление","90"
"1002","10/3/2021","M13","42","21","Продажа","90"
"1003","10/3/2021","M13","43","170","Поступление","40"
"1004","10/3/2021","M13","43","18","Продажа","40"
"1005","10/3/2021","M14","17","180","Поступление","95"
"1006","10/3/2021","M14","17","82","Продажа","95"
"1007","10/3/2021","M14","19","180","Поступление","90"
"1008","10/3/2021","M14","19","54","Продажа","90"
"1009","10/3/2021","M14","20","170","Поступление","80"
"1010","10/3/2021","M14","20","57","Продажа","80"
"1011","10/3/2021","M14","21","180","Поступление","105"
"1012","10/3/2021","M14","21","67","Продажа","105"
"1013","10/3/2021","M14","22","180","Поступление","115"
"1014","10/3/2021","M14","22","51","Продажа","115"
"1015","10/3/2021","M14","23","180","Поступление","120"
"1016","10/3/2021","M14","23","12","Продажа","120"
"1017","10/3/2021","M14","35","180","Поступление","55"
"1018","10/3/2021","M14","35","58","Продажа","55"
"1019","10/3/2021","M14","37","170","Поступление","50"
"1020","10/3/2021","M14","37","135","Продажа","50"
"1021","10/3/2021","M14","38","180","Поступление","70"
"1022","10/3/2021","M14","38","104","Продажа","70"
"1023","10/3/2021","M14","39","180","Поступление","95"
"1024","10/3/2021","M14","39","160","Продажа","95"
"1025","10/3/2021","M14","40","170","Поступление","15"
"1026","10/3/2021","M14","40","48","Продажа","15"
"1027","10/3/2021","M14","41","180","Поступление","35"
"1028","10/3/2021","M14","41","19","Продажа","35"
"1029","10/3/2021","M14","42","180","Поступление","90"
"1030","10/3/2021","M14","42","20","Продажа","90"
"1031","10/3/2021","M14","43","180","Поступление","40"
"1032","10/3/2021","M14","43","10","Продажа","40"
"1033","10/3/2021","M15","17","180","Поступление","95"
"1034","10/3/2021","M15","17","94","Продажа","95"
"1035","10/3/2021","M15","19","170","Поступление","90"
"1036","10/3/2021","M15","19","58","Продажа","90"
"1037","10/3/2021","M15","20","180","Поступление","80"
"1038","10/3/2021","M15","20","55","Продажа","80"
"1039","10/3/2021","M15","21","180","Поступление","105"
"1040","10/3/2021","M15","21","89","Продажа","105"
"1041","10/3/2021","M15","22","170","Поступление","115"
"1042","10/3/2021","M15","22","93","Продажа","115"
"1043","10/3/2021","M15","2","180","Поступление","120"
"1044","10/3/2021","M15","2","45","Продажа","120"
"1045","10/3/2021","M15","2","180","Поступление","55"
"1046","10/3/2021","M15","2","51","Продажа","55"
"1047","10/3/2021","M15","2","180","Поступление","50"
"1048","10/3/2021","M15","37","124","Продажа","50"
"1049","10/3/2021","M15","38","180","Поступление","70"
"1050","10/3/2021","M15","38","115","Продажа","70"
"1051","10/3/2021","M15","39","170","Поступление","95"
"1052","10/3/2021","M15","39","147","Продажа","95"
"1053","10/3/2021","M15","40","180","Поступление","15"
"1054","10/3/2021","M15","40","42","Продажа","15"
"1055","10/3/2021","M15","41","180","Поступление","35"
"1056","10/3/2021","M15","41","48","Продажа","35"
"1057","10/3/2021","M15","42","170","Поступление","90"
"1058","10/3/2021","M15","42","24","Продажа","90"
"1059","10/3/2021","M15","43","180","Поступление","40"
"1060","10/3/2021","M15","43","12","Продажа","40"
"1061","10/3/2021","M16","17","180","Поступление","95"
"1062","10/3/2021","M16","17","80","Продажа","95"
"1063","10/3/2021","M16","19","180","Поступление","90"
"1064","10/3/2021","M16","19","50","Продажа","90"
"1065","10/3/2021","M16","20","180","Поступление","80"
"1066","10/3/2021","M16","20","45","Продажа","80"
"1067","10/3/2021","M16","21","170","Поступление","105"
"1068","10/3/2021","M16","21","90","Продажа","105"
"1069","10/3/2021","M16","22","180","Поступление","115"
"1070","10/3/2021","M16","22","87","Продажа","115"
"1071","10/3/2021","M16","23","180","Поступление","120"
"1072","10/3/2021","M16","23","40","Продажа","120"
"1073","10/3/2021","M16","35","170","Поступление","55"
"1074","10/3/2021","M16","35","58","Продажа","55"
"1075","10/3/2021","M16","37","180","Поступление","50"
"1076","10/3/2021","M16","37","123","Продажа","50"
"1077","10/3/2021","M16","38","180","Поступление","70"
"1078","10/3/2021","M16","38","105","Продажа","70"
"1079","10/3/2021","M16","39","180","Поступление","95"
"1080","10/3/2021","M16","39","150","Продажа","95"
"1081","10/3/2021","M16","40","180","Поступление","15"
"1082","10/3/2021","M16","40","30","Продажа","15"
"1083","10/3/2021","M16","41","170","Поступление","35"
"1084","10/3/2021","M16","41","15","Продажа","35"
"1085","10/3/2021","M16","42","180","Поступление","90"
"1086","10/3/2021","M16","42","10","Продажа","90"
"1087","10/3/2021","M16","43","180","Поступление","40"
"1088","10/3/2021","M16","43","23","Продажа","40"
"1089","10/3/2021","M2","17","170","Поступление","95"
"1090","10/3/2021","M2","17","85","Продажа","95"
"1091","10/3/2021","M2","19","180","Поступление","90"
"1092","10/3/2021","M2","19","49","Продажа","90"
"1093","10/3/2021","M2","20","180","Поступление","80"
"1094","10/3/2021","M2","20","52","Продажа","80"
"1095","10/3/2021","M2","21","180","Поступление","105"
"1096","10/3/2021","M2","21","84","Продажа","105"
"1097","10/3/2021","M2","22","180","Поступление","115"
"1098","10/3/2021","M2","22","82","Продажа","115"
"1099","10/3/2021","M2","23","170","Поступление","120"
"1100","10/3/2021","M2","23","40","Продажа","120"
"1101","10/3/2021","M2","35","180","Поступление","55"
"1102","10/3/2021","M2","35","53","Продажа","55"
"1103","10/3/2021","M2","37","180","Поступление","50"
"1104","10/3/2021","M2","37","119","Продажа","50"
"1105","10/3/2021","M2","38","170","Поступление","70"
"1106","10/3/2021","M2","38","107","Продажа","70"
"1107","10/3/2021","M2","39","180","Поступление","95"
"1108","10/3/2021","M2","39","144","Продажа","95"
"1109","10/3/2021","M2","40","180","Поступление","15"
